,Familiarity Score,Knowledge Score,Skills Score
Intercept,5.401 *** (0.029) p: <0.001,9.060 *** (0.071) p: <0.001,2.655 *** (0.036) p: <0.001
Population - SPARK,0.391 *** (0.042) p: <0.001,2.121 *** (0.100) p: <0.001,0.913 *** (0.052) p: <0.001
,,,
N,4057,4057,4057
R2,0.021,0.099,0.072
Overall F statistic,87.167,445.541,314.116
Overall F p-value,<0.001,<0.001,<0.001
